key,channel
1,ba01
2,ba02
3,ba03
4,ba04
5,ba05
6,ba06
7,ba07
8,ba08
9,ba09
10,ba10
11,ba11
12,ba12
13,ba13
14,ba14
15,ba15
16,ba16
17,ba17
18,ba18
19,ba19
20,ba20
21,ba21
22,ba22
23,ba23
24,ba24
25,ba25
26,ba26
27,ba27
28,ba28
29,ba29
30,ba30
31,ba31
32,ba32
33,ba33
34,ba34
35,ba35
36,ba36
37,ba37
38,ba38
39,ba39
40,ba40
41,ba41
42,ba42
43,ba43
44,ba44
45,ba45
46,ba46
47,ba47
48,ba48
49,ba49
50,ba50
51,ba51
52,ba52
53,ba53
54,ba54
55,ba55
56,ba56
57,ba57
58,ba58
59,ba59
60,ba60
61,ba61
62,ba62
63,ba63
64,ba64
65,ba65
66,ba66
67,ba67
68,ba68
69,ba69
70,ba70
71,ba71
72,ba72
73,ba73
